dataset, dataset link, license, license link
Walmart, https://www.kaggle.com/datasets/yasserh/walmart-dataset, CC0: Public Domain, https://creativecommons.org/publicdomain/zero/1.0/
Temperature, https://www.kaggle.com/datasets/hansukyang/temperature-history-of-1000-cities-1980-to-2020, CC BY-NC-SA 4.0, https://creativecommons.org/licenses/by-nc-sa/4.0/
